ContrastResp	ContrastRespAnalysis
MovingBar	MovingBarAnalysis
IV		IVAnalysis
LightStep	LightStepAnalysis
SpotsMultiSize	SpotsMultiSizeAnalysis
SpotsMultipleSizes	SpotsMultiSizeAnalysis
BarsMultiAngle	BarsMultiAngleAnalysis
BarsMultiSpeed	BarsMultiSpeedAnalysis
FlashedBar	BarsMultiAngleAnalysis
DriftingGratings	DriftingGratingsAnalysis
RadonRF RadonRFAnalysis
SplitField	SplitFieldAnalysis
TextureMatrix	TextureMatrixAnalysis
Annulus	AnnulusAnalysis
DriftingTexture		DriftingTextureAnalysis
AutoCenter	AutoCenterAnalysis
IorVPulse	IorVPulseAnalysis
CenterSurroundNoise	CenterSurroundNoiseAnalysis
ColorResponse ColorResponseAnalysis
ColorIsoResponse ColorIsoResponseAnalysis
Approach	ApproachAnalysis
AnnI_V		IVAnnulusAnalysis
Chirp	ChirpAnalysis
DynamicClampConductanceScalingSpikeRate        DynamicClampAnalysis
MultiPulse MultiPulseAnalysis
ObjectMotionSensitivity	ObjectMotionSensitivityAnalysis


LedPulse	LedPulseAnalysis
LedPulse	LedPulseLightStepAnalysis
LedPulse	AndrilaLightAmplitudeAnalysis
ConeTyping	CTTreeAnalysis
PulseFamily	AndrilaIVAnalysis
LedNoise	LinearNonLinearAnalysis
