050714Bc6-Ch1	050714Bc7-Ch1
053014Ac1	053014Ac4
042314Ac1	042314Ac2
053014Ac5	053014Ac7
053014Ac3	053014Ac6	053014Ac8
052214Bc3	052214Bc4
051614Bc1	051614Bc4
051614Bc7	051614Bc8-Ch2
051614Ac3	051614Ac4-Ch2
050714Bc3	050714Bc4
051614Bc3	051614Bc4-Ch1
041514Ac1	041514Ac2
070114Ac1	070114Ac2
090414Ac2	090414Ac4
062014Ac6	062014Ac8
080814Ac1	080814Ac3
070314Ac2	070314Ac4
062014Ac6	062014Ac8
062014Ac7	062014Ac9
060314Ac2	060314Ac3
080714Bc2	080714Bc4
081214Ac10	081214Ac12
081214Ac11	081214Ac13
081514Ac1	081514Ac3
082814Bc3	082814Bc4
100714Ac15	100714Ac21
101414Ac3	101414Ac7
101414Ac8	101414Ac10
102814Ac10	102814Ac11
120914Ac3	120914Ac5
102414Bc1	102414Bc7
103014Ac4	103014Ac5-Ch1	
110714Bc3	110714Bc5
110714Bc11	110714Bc29
112614Ac5	112614Ac6
110714Ac9	110714Ac11
111114Ac5	111114Ac7
111114Ac6	111114Ac8
111114Ac9	111114Ac12
111814Ac5	111814Ac7
111814Ac14	111814Ac16
120214Bc8	120214Bc10
121114Bc1	121114Bc2-Ch2
121114Bc3	121114Bc4-Ch2
121714Bc3	121714Bc4-Ch2
121714Bc7	121714Bc8-Ch2
121614Bc13	121614Bc14
121714Ac2	121714Ac3-Ch2
010915Ac3	010915Ac4-Ch1
011615Ac7	011615Ac9
011415Ac4	011415Ac5-Ch2
012215Bc8	012215Bc9-Ch2


